microcolony,cohort,colony,num-bees-end,hp-store-type,hp-size,hp-storage-order,hp-storage,total-store,1-hp-hat-halo,area-hp1,area-hp2,area-hp3,area-hp4,area-hp5,area-hp-sum,area-brood1,area-brood2,area-brood3,area-brood4,area-brood5,area-brood-sum,area-0.75-hp,area-0.5-hp,area-0.25-hp,ITD-bee1,ITD-bee2,ITD-bee3,ITD-avg
Q4,1,Q,3,1,,1,1,3,1,,,,,,0,490.587,,,,,490.587,33.8,,,4.57,3.72,3.56,3.95
Q4,1,Q,3,0.75,33.8,3,1,3,1,,,,,,0,490.587,,,,,490.587,33.8,,,4.57,3.72,3.56,3.95
Q4,1,Q,3,0.5,,2,1,3,1,,,,,,0,490.587,,,,,490.587,33.8,,,4.57,3.72,3.56,3.95
Q4,1,Q,3,0.25,,,0,3,1,,,,,,0,490.587,,,,,490.587,33.8,,,4.57,3.72,3.56,3.95
Q5,1,Q,3,1,,1,1,3,1,50.687,,,,,50.687,228.504,,,,,228.504,43.765,46.917,,3.77,4.04,3.46,3.756666667
Q5,1,Q,3,0.75,43.765,3,1,3,1,50.687,,,,,50.687,228.504,,,,,228.504,43.765,46.917,,3.77,4.04,3.46,3.756666667
Q5,1,Q,3,0.5,46.917,2,1,3,1,50.687,,,,,50.687,228.504,,,,,228.504,43.765,46.917,,3.77,4.04,3.46,3.756666667
Q5,1,Q,3,0.25,,,0,3,1,50.687,,,,,50.687,228.504,,,,,228.504,43.765,46.917,,3.77,4.04,3.46,3.756666667
Q6,1,Q,3,1,,1,1,3,1,79.883,,,,,79.883,346.606,21.249,,,,367.855,,60.559,,4.31,3.82,4.12,4.083333333
Q6,1,Q,3,0.75,,1,1,3,1,79.883,,,,,79.883,346.606,21.249,,,,367.855,,60.559,,4.31,3.82,4.12,4.083333333
Q6,1,Q,3,0.5,60.559,3,1,3,1,79.883,,,,,79.883,346.606,21.249,,,,367.855,,60.559,,4.31,3.82,4.12,4.083333333
Q6,1,Q,3,0.25,,,0,3,1,79.883,,,,,79.883,346.606,21.249,,,,367.855,,60.559,,4.31,3.82,4.12,4.083333333
R1,2,R,3,1,,1,1,2,1,46.593,,,,,46.593,310.935,,,,,310.935,64.276,,,3.48,3.72,3.96,3.72
R1,2,R,3,0.75,64.276,2,1,2,1,46.593,,,,,46.593,310.935,,,,,310.935,64.276,,,3.48,3.72,3.96,3.72
R1,2,R,3,0.5,,,0,2,1,46.593,,,,,46.593,310.935,,,,,310.935,64.276,,,3.48,3.72,3.96,3.72
R1,2,R,3,0.25,,,0,2,1,46.593,,,,,46.593,310.935,,,,,310.935,64.276,,,3.48,3.72,3.96,3.72
R2,2,R,3,1,,1,1,3,1,,,,,,0,213.2,28.929,,,,242.129,29.265,42.328,,3.94,3.06,2.98,3.326666667
R2,2,R,3,0.75,29.265,3,1,3,1,,,,,,0,213.2,28.929,,,,242.129,29.265,42.328,,3.94,3.06,2.98,3.326666667
R2,2,R,3,0.5,42.328,2,1,3,1,,,,,,0,213.2,28.929,,,,242.129,29.265,42.328,,3.94,3.06,2.98,3.326666667
R2,2,R,3,0.25,,,0,3,1,,,,,,0,213.2,28.929,,,,242.129,29.265,42.328,,3.94,3.06,2.98,3.326666667
R3,2,R,3,1,,1,1,2,1,,,,,,0,201.305,36.521,9.544,,,247.37,,,65.146,3.82,3.52,3.68,3.673333333
R3,2,R,3,0.75,,,0,2,1,,,,,,0,201.305,36.521,9.544,,,247.37,,,65.146,3.82,3.52,3.68,3.673333333
R3,2,R,3,0.5,,,0,2,1,,,,,,0,201.305,36.521,9.544,,,247.37,,,65.146,3.82,3.52,3.68,3.673333333
R3,2,R,3,0.25,65.146,2,1,2,1,,,,,,0,201.305,36.521,9.544,,,247.37,,,65.146,3.82,3.52,3.68,3.673333333
R4,2,R,3,1,,1,1,4,1,,,,,,0,333.869,,,,,333.869,63.683,73.597,,4.22,4.61,4.03,4.286666667
R4,2,R,3,0.75,63.683,3,1,4,1,,,,,,0,333.869,,,,,333.869,63.683,73.597,,4.22,4.61,4.03,4.286666667
R4,2,R,3,0.5,73.597,2,1,4,1,,,,,,0,333.869,,,,,333.869,63.683,73.597,,4.22,4.61,4.03,4.286666667
R4,2,R,3,0.25,,4,1,4,1,,,,,,0,333.869,,,,,333.869,63.683,73.597,,4.22,4.61,4.03,4.286666667
R5,2,R,2,1,,,0,2,0,,,,,,0,137.323,19.916,32.665,,,189.904,42.223,66.741,,3.84,4.61,,4.225
R5,2,R,2,0.75,42.223,2,1,2,0,,,,,,0,137.323,19.916,32.665,,,189.904,42.223,66.741,,3.84,4.61,,4.225
R5,2,R,2,0.5,66.741,1,1,2,0,,,,,,0,137.323,19.916,32.665,,,189.904,42.223,66.741,,3.84,4.61,,4.225
R5,2,R,2,0.25,,,0,2,0,,,,,,0,137.323,19.916,32.665,,,189.904,42.223,66.741,,3.84,4.61,,4.225
R6,2,R,2,1,,1,1,1,1,,,,,,0,102.449,24.543,,,,126.992,,,,3.18,3.7,,3.44
R6,2,R,2,0.75,,,0,1,1,,,,,,0,102.449,24.543,,,,126.992,,,,3.18,3.7,,3.44
R6,2,R,2,0.5,,,0,1,1,,,,,,0,102.449,24.543,,,,126.992,,,,3.18,3.7,,3.44
R6,2,R,2,0.25,,,0,1,1,,,,,,0,102.449,24.543,,,,126.992,,,,3.18,3.7,,3.44
S1,2,S,3,1,,1,1,3,1,50.544,,,,,50.544,417.919,,,,,417.919,32.488,,,3.58,4.3,4.21,4.03
S1,2,S,3,0.75,32.488,3,1,3,1,50.544,,,,,50.544,417.919,,,,,417.919,32.488,,,3.58,4.3,4.21,4.03
S1,2,S,3,0.5,,,0,3,1,50.544,,,,,50.544,417.919,,,,,417.919,32.488,,,3.58,4.3,4.21,4.03
S1,2,S,3,0.25,,2,1,3,1,50.544,,,,,50.544,417.919,,,,,417.919,32.488,,,3.58,4.3,4.21,4.03
S2,2,S,3,1,,1,1,3,1,41.375,,,,,41.375,266.214,,,,,266.214,,56.093,,4.03,3.49,3.57,3.696666667
S2,2,S,3,0.75,,,0,3,1,41.375,,,,,41.375,266.214,,,,,266.214,,56.093,,4.03,3.49,3.57,3.696666667
S2,2,S,3,0.5,56.093,1,1,3,1,41.375,,,,,41.375,266.214,,,,,266.214,,56.093,,4.03,3.49,3.57,3.696666667
S2,2,S,3,0.25,,1,1,3,1,41.375,,,,,41.375,266.214,,,,,266.214,,56.093,,4.03,3.49,3.57,3.696666667
S3,2,S,3,1,,1,1,2,1,,,,,,0,330.015,,,,,330.015,,,76.022,3.87,4.08,4.01,3.986666667
S3,2,S,3,0.75,,,0,2,1,,,,,,0,330.015,,,,,330.015,,,76.022,3.87,4.08,4.01,3.986666667
S3,2,S,3,0.5,,,0,2,1,,,,,,0,330.015,,,,,330.015,,,76.022,3.87,4.08,4.01,3.986666667
S3,2,S,3,0.25,76.022,2,1,2,1,,,,,,0,330.015,,,,,330.015,,,76.022,3.87,4.08,4.01,3.986666667
S4,2,S,3,1,,1,1,4,1,,,,,,0,26.041,26.146,,,,52.187,,47.942,55.168,4.2,3.9,3.99,4.03
