microcolony,label,colony,incomplete,model,start_date,end_date,bees_at_end,nectar_incomplete_ever,nectar_incomplete_at_end,pb_status,handmade_hp_max,handmade_hp_end,order_honeypot,order_1hp,order_incomplete,1hp_storage,1hp_hat,area_brood,area_honeypot
003,1.E4,E,0.5,N,23-06-23,21-07-23,3,0,0,D,2,2,1,NA,NA,NA,NA,86.66,138.29
004,1.E5,E,0.5,N,23-06-23,21-07-23,3,0,0,I,2,2,1,NA,NA,NA,NA,51.85,89.73
005,1.E6,E,0.5,N,23-06-23,21-07-23,3,0,0,I,2,2,1,NA,NA,NA,NA,66.39,163.02
006,1.E7,E,0.5,N,23-06-23,21-07-23,3,1,1,I,2,2,1,NA,2,NA,NA,227.57,106.63
007,1.E8,E,0.5,N,23-06-23,21-07-23,2,0,0,I,2,2,1,NA,NA,NA,NA,161.03,50.37
010,1.E11,E,0.5,N,23-06-23,21-07-23,3,0,0,P,2,1,1,NA,NA,NA,NA,125.13,45.6
011,1.E12,E,0.5,N,23-06-23,21-07-23,3,0,0,I,2,2,1,NA,NA,NA,NA,112.09,64.22
013,1.F2,F,0.5,N,03-05-23,24-05-23,3,1,1,P,2,1,1,NA,2,NA,NA,294.73,134.76
016,1.F5,F,0.5,N,26-05-23,16-06-23,2,0,0,I,2,2,1,NA,NA,NA,NA,212.39,99.37
018,1.F7,F,0.5,N,23-06-23,14-07-23,3,0,0,P,2,1,1,NA,NA,NA,NA,130.32,136.02
020,1.F9,F,0.5,N,23-06-23,14-07-23,3,1,1,P,2,2,2,NA,1,NA,NA,101.8,183.38
022,1.F11,F,0.5,N,23-06-23,14-07-23,2,1,1,I,2,1,1,NA,2,NA,NA,107.31,101.62
025,1.Z2,Z,0.5,N,31-03-23,2023_04_21,3,0,0,I,2,2,1,NA,NA,NA,NA,211.34,178.39
032,2.E1,E,0.5,Y,03-05-23,24-05-23,3,0,0,I,2,2,2,1,NA,1,1,150.95,108.7
041,2.F2,F,0.5,Y,15-05-23,05-06-23,3,0,0,I,2,2,1,2,NA,1,1,121.83,169.59
043,2.F6,F,0.5,Y,23-06-23,14-07-23,3,1,1,P,2,2,2,1,3,1,1,160.2,100.2
048,2.Z1,Z,0.5,Y,31-03-23,2023_04_21,3,0,0,I,2,2,2,1,NA,1,1,224.88,201.43
054,2.Z7,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,I,2,1,2,1,3,1,1,231.56,65.93
056,2.Z9,Z,0.5,Y,31-03-23,2023_04_21,2,0,0,I,2,2,2,1,NA,1,1,58.08,174.08
060,3.E1,E,0.75,N,03-05-23,24-05-23,3,0,0,I,2,2,1,NA,NA,NA,NA,179.51,158.93
061,3.E2,E,0.75,N,17-05-23,07-06-23,3,0,0,I,2,2,1,NA,NA,NA,NA,234.75,227.8
066,3.E7,E,0.75,N,23-06-23,21-07-23,3,0,0,I,2,2,1,NA,NA,NA,NA,149.71,52.24
075,3.F4,F,0.75,N,26-05-23,16-06-23,3,0,0,D,2,1,1,NA,NA,NA,NA,162.22,191.01
076,3.F5,F,0.75,N,26-05-23,16-06-23,3,0,0,I,2,2,1,NA,NA,NA,NA,303.11,149.6
